person,address,city,start_date,end_date
XXXXXXXXXXXXXX17,Mulberry Street 12,Bologna,1936-03-26,2021-05-05
XXXXXXXXXXXXXX17,Aspen Court 20,Genova,2021-05-05,null
XXXXXXXXXXXXXXX9,Willow Drive 14,Bari,1973-01-11,2021-06-16
XXXXXXXXXXXXXXX9,3rd Street East 23,Milano,2021-06-16,null
XXXXXXXXXXXXXX34,14th Street 12,Palermo,1970-08-20,2021-05-16
XXXXXXXXXXXXXX34,Hanover Court 15,Torino,2021-05-16,null
XXXXXXXXXXXXXX26,Chapel Street 28,Catania,2017-02-24,2021-05-23
XXXXXXXXXXXXXX26,Country Club Road 11,Palermo,2021-05-23,null
XXXXXXXXXXXXXXX7,4th Street West 29,Palermo,1974-09-19,2021-06-19
XXXXXXXXXXXXXXX7,Edgewood Road 12,Roma,2021-06-19,null
XXXXXXXXXXXXXX38,Grove Street 14,Bologna,1999-07-22,2021-06-18
XXXXXXXXXXXXXX38,Race Street 23,Roma,2021-06-18,null
XXXXXXXXXXXXXXX1,Creek Road 2,Firenze,1994-01-03,2021-06-21
XXXXXXXXXXXXXXX1,Harrison Avenue 30,Catania,2021-06-21,null
XXXXXXXXXXXXXXX5,Race Street 20,Bari,1993-08-27,null
XXXXXXXXXXXXXX15,Lilac Lane 24,Torino,1988-06-26,2021-05-13
XXXXXXXXXXXXXX15,Jackson Avenue 27,Bologna,2021-05-13,null
XXXXXXXXXXXXXX45,Devon Road 25,Firenze,1989-02-27,null
XXXXXXXXXXXXXX36,Lilac Lane 26,Bari,2019-07-11,2021-06-22
XXXXXXXXXXXXXX36,Manor Drive 23,Palermo,2021-06-22,null
XXXXXXXXXXXXXX29,Maiden Lane 9,Milano,1937-06-03,2021-05-13
XXXXXXXXXXXXXX29,Cherry Lane 16,Napoli,2021-05-13,null
XXXXXXXXXXXXXX20,Bridle Lane 29,Bari,1984-09-17,2021-05-05
XXXXXXXXXXXXXX20,Lilac Lane 8,Palermo,2021-05-05,null
XXXXXXXXXXXXXX27,Edgewood Drive 23,Torino,1989-08-18,2021-06-07
XXXXXXXXXXXXXX27,Hawthorne Lane 5,Catania,2021-06-07,null
XXXXXXXXXXXXXX19,Grant Avenue 26,Napoli,1981-10-28,null
XXXXXXXXXXXXXX43,Chapel Street 13,Firenze,1985-10-04,2021-06-11
XXXXXXXXXXXXXX43,Harrison Avenue 28,Milano,2021-06-11,null
XXXXXXXXXXXXXX14,Essex Court 12,Firenze,1946-02-26,2021-05-04
XXXXXXXXXXXXXX14,Aspen Court 30,Genova,2021-05-04,null
XXXXXXXXXXXXXX28,Grant Avenue 16,Catania,1991-06-26,null
XXXXXXXXXXXXXXX0,Mulberry Street 17,Roma,1961-11-09,2021-05-22
XXXXXXXXXXXXXXX0,Sherwood Drive 4,Firenze,2021-05-22,null
XXXXXXXXXXXXXX41,Grant Avenue 6,Bologna,2008-12-17,2021-05-22
XXXXXXXXXXXXXX41,Sycamore Lane 15,Napoli,2021-05-22,null
